threshold,similarity,take_first,mae,f1_3,f1_4
10,0.7,10,0.32,0.89,0.7
10,0.7,20,0.32,0.9,0.71
10,0.7,30,0.32,0.9,0.71
10,0.7,50,0.32,0.9,0.71
10,0.7,100,0.32,0.9,0.71
10,0.7,120,0.32,0.9,0.71
10,0.7,200,0.32,0.9,0.71
20,0.7,10,0.32,0.9,0.71
20,0.7,20,0.32,0.9,0.71
20,0.7,30,0.32,0.9,0.71
20,0.7,50,0.32,0.9,0.71
20,0.7,100,0.32,0.9,0.71
20,0.7,120,0.32,0.9,0.71
20,0.7,200,0.32,0.9,0.71
30,0.7,10,0.32,0.9,0.72
30,0.7,20,0.32,0.91,0.72
30,0.7,30,0.32,0.91,0.72
30,0.7,50,0.32,0.91,0.72
30,0.7,100,0.32,0.91,0.72
30,0.7,120,0.32,0.91,0.72
30,0.7,200,0.32,0.91,0.72
50,0.7,10,0.32,0.91,0.73
50,0.7,20,0.32,0.91,0.73
50,0.7,30,0.32,0.91,0.73
50,0.7,50,0.32,0.91,0.73
50,0.7,100,0.32,0.91,0.73
50,0.7,120,0.32,0.91,0.73
50,0.7,200,0.32,0.91,0.73
100,0.7,10,0.32,0.91,0.74
100,0.7,20,0.32,0.92,0.74
100,0.7,30,0.32,0.92,0.74
100,0.7,50,0.32,0.92,0.74
100,0.7,100,0.32,0.92,0.74
100,0.7,120,0.32,0.92,0.74
100,0.7,200,0.32,0.92,0.74
10,0.8,10,0.32,0.89,0.7
10,0.8,20,0.32,0.9,0.71
10,0.8,30,0.32,0.9,0.71
10,0.8,50,0.32,0.9,0.71
10,0.8,100,0.32,0.9,0.71
10,0.8,120,0.32,0.9,0.71
10,0.8,200,0.32,0.9,0.71
20,0.8,10,0.32,0.9,0.71
20,0.8,20,0.32,0.9,0.71
20,0.8,30,0.32,0.9,0.71
20,0.8,50,0.32,0.9,0.71
20,0.8,100,0.32,0.9,0.71
20,0.8,120,0.32,0.9,0.71
20,0.8,200,0.32,0.9,0.71
30,0.8,10,0.32,0.9,0.72
30,0.8,20,0.32,0.91,0.72
30,0.8,30,0.32,0.91,0.72
30,0.8,50,0.32,0.91,0.72
30,0.8,100,0.32,0.91,0.72
30,0.8,120,0.32,0.91,0.72
30,0.8,200,0.32,0.91,0.72
50,0.8,10,0.32,0.91,0.73
50,0.8,20,0.32,0.91,0.73
50,0.8,30,0.32,0.91,0.73
50,0.8,50,0.32,0.91,0.73
50,0.8,100,0.32,0.91,0.73
50,0.8,120,0.32,0.91,0.73
50,0.8,200,0.32,0.91,0.73
100,0.8,10,0.32,0.91,0.74
100,0.8,20,0.32,0.92,0.74
100,0.8,30,0.32,0.92,0.74
100,0.8,50,0.32,0.92,0.74
100,0.8,100,0.32,0.92,0.74
100,0.8,120,0.32,0.92,0.74
100,0.8,200,0.32,0.92,0.74
10,0.9,10,0.32,0.89,0.7
10,0.9,20,0.32,0.9,0.71
10,0.9,30,0.32,0.9,0.71
10,0.9,50,0.32,0.9,0.71
10,0.9,100,0.32,0.9,0.71
10,0.9,120,0.32,0.9,0.71
10,0.9,200,0.32,0.9,0.71
20,0.9,10,0.32,0.9,0.71
20,0.9,20,0.32,0.9,0.71
20,0.9,30,0.32,0.9,0.71
20,0.9,50,0.32,0.9,0.71
20,0.9,100,0.32,0.9,0.71
20,0.9,120,0.32,0.9,0.71
20,0.9,200,0.32,0.9,0.71
30,0.9,10,0.32,0.9,0.72
30,0.9,20,0.32,0.91,0.72
30,0.9,30,0.32,0.91,0.72
30,0.9,50,0.32,0.91,0.72
30,0.9,100,0.32,0.91,0.72
30,0.9,120,0.32,0.91,0.72
30,0.9,200,0.32,0.91,0.72
50,0.9,10,0.32,0.91,0.73
50,0.9,20,0.32,0.91,0.73
50,0.9,30,0.32,0.91,0.73
50,0.9,50,0.32,0.91,0.73
50,0.9,100,0.32,0.91,0.73
50,0.9,120,0.32,0.91,0.73
50,0.9,200,0.32,0.91,0.73
100,0.9,10,0.32,0.91,0.74
100,0.9,20,0.32,0.92,0.74
100,0.9,30,0.32,0.92,0.74
100,0.9,50,0.32,0.92,0.74
100,0.9,100,0.32,0.92,0.74
100,0.9,120,0.32,0.92,0.74
100,0.9,200,0.32,0.92,0.74
